region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,population,pop_5,pop_514,pop_15,war_affected_regions,war_affected_zones,war_affected_districts
Amhara,Awi,Ayehu Guwagusa,May,2020,2020-05-01,832,226,13,51,162,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,June,2020,2020-06-01,1328,355,26,72,257,107987.0878,15606.7775,27115.38151,65264.92879,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,July,2021,2021-07-01,1047,260,16,76,168,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,August,2021,2021-08-01,1076,249,15,50,184,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,September,2021,2021-09-01,926,185,6,23,156,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,October,2021,2021-10-01,1578,332,18,63,251,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,November,2021,2021-11-01,892,168,15,28,125,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,December,2021,2021-12-01,1000,231,7,30,194,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,January,2021,2021-01-01,533,54,1,10,43,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,February,2021,2021-02-01,788,43,2,4,37,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Ayehu Guwagusa,March,2021,2021-03-01,792,44,4,3,37,109664.3996,15849.19011,27536.55177,66278.65773,Affected_regions,Not_affected,Not_affected
